Link,6b9nqrr,24,0,Terro the Seeker,5313912,0,0,0,0,0,0,0,0,2950236,1105389,0,0,0,0,0,1258286,0,0,0,0,0,0,0,0
Link,6b9nqrr,24,1,Mohaca the Gale,5480453,3078668,65143,429754,0,319927,75813,97041,68737,0,0,0,1345368,0,0,0,0,0,0,0,0,0,0,0,0
Link,6b9nqrr,24,2,Mohaca the Gale,10634002,0,129821,1021592,53237,959920,88617,79670,92548,3015211,0,431795,1553088,368618,391333,115121,2333424,0,0,0,0,0,0,0,0
Link,6b9nqrr,24,3,Terro the Seeker,5479821,0,0,0,0,0,0,0,0,3052322,1155878,0,0,0,0,0,1271620,0,0,0,0,0,0,0,0
Link,6b9nqrr,24,4,Lojak the Fissure,5297879,0,0,0,0,0,1047522,0,0,0,2368674,0,1428899,0,0,451337,0,103,0,0,432,0,0,910,0
RedCrash,q47bdm5,24,0,Terro the Seeker,5339385,1235851,2728278,0,0,0,0,0,1375254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RedCrash,q47bdm5,24,1,Mohaca the Gale,4864045,0,26081,0,0,0,365603,1628455,250391,1221152,0,94245,0,1278114,0,0,0,0,0,0,0,0,0,0,0
RedCrash,q47bdm5,24,2,Mohaca the Gale,9547820,2948464,16463,15079,25909,10472,463052,1675804,252667,0,0,0,1098156,25761,914943,26808,2073790,0,0,0,232,0,0,0,211
RedCrash,q47bdm5,24,3,Terro the Seeker,6079872,0,1198878,0,0,0,0,0,0,0,4880846,0,0,0,0,0,0,147,0,0,0,0,0,0,0
RedCrash,q47bdm5,24,4,Lojak the Fissure,4850942,0,0,0,1767554,0,0,0,0,0,1189666,0,789049,565637,0,538765,0,211,0,58,0,0,0,0,0
Sir Tap a Lot,ybd48dk,24,0,Terro the Seeker,3996087,0,0,0,0,0,0,0,0,1782933,986932,0,0,0,0,0,1226222,0,0,0,0,0,0,0,0
Sir Tap a Lot,ybd48dk,24,1,Mohaca the Gale,4125493,0,1288,0,0,1371655,0,903442,0,974547,0,866877,0,7682,0,0,0,0,0,0,0,0,0,0,0
Sir Tap a Lot,ybd48dk,24,2,Mohaca the Gale,8486553,0,233941,106570,69248,744642,78340,1894688,348638,998860,0,0,0,1491812,94306,2425503,0,0,0,0,0,0,0,0,0
Sir Tap a Lot,ybd48dk,24,3,Terro the Seeker,4118188,0,0,0,0,0,0,0,0,959345,2086114,0,0,0,0,0,1072728,0,0,0,0,0,0,0,0
Sir Tap a Lot,ybd48dk,24,4,Lojak the Fissure,3973107,0,1832276,0,0,688407,0,14449,0,0,0,0,0,0,0,362552,1075367,55,0,0,0,0,0,0,0
Purky DeStRoYeR,d2e2mx,24,0,Terro the Seeker,3933351,1071651,0,0,0,0,631,0,0,1028163,886408,0,0,0,0,0,946496,0,0,0,0,0,0,0,0
Purky DeStRoYeR,d2e2mx,24,1,Mohaca the Gale,3780610,0,424,0,0,0,4912,0,1750441,2024832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purky DeStRoYeR,d2e2mx,24,2,Mohaca the Gale,7608375,1099937,41121,0,0,0,9902,0,1912177,930818,0,0,357411,38431,140045,1058886,2019626,18,0,0,0,0,0,0,0
Purky DeStRoYeR,d2e2mx,24,3,Terro the Seeker,2808665,0,0,0,0,0,0,0,0,0,2808629,0,0,0,0,0,0,36,0,0,0,0,0,0,0
Purky DeStRoYeR,d2e2mx,24,4,Lojak the Fissure,4968698,0,1836446,0,0,0,0,2093749,5692,0,0,0,0,0,0,0,1032810,0,0,0,0,0,0,0,0
SlimShady,rmyygq8,24,0,Terro the Seeker,3963338,2862058,300358,0,0,0,0,0,760162,0,0,0,0,0,0,0,40757,0,0,0,0,0,0,0,0
SlimShady,rmyygq8,24,1,Mohaca the Gale,3601844,952802,0,0,0,0,64545,0,1060032,0,0,0,1524464,0,0,0,0,0,0,0,0,0,0,0,0
SlimShady,rmyygq8,24,2,Mohaca the Gale,3748016,1959514,0,0,898101,0,74474,0,815926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SlimShady,rmyygq8,24,3,Terro the Seeker,3725280,0,205879,0,0,0,0,0,1324167,1977335,0,0,0,0,0,0,217898,0,0,0,0,0,0,0,0
SlimShady,rmyygq8,24,4,Lojak the Fissure,7508791,2517780,282840,0,0,0,0,0,1985799,2016028,0,0,0,0,0,0,706342,0,0,0,0,0,0,0,0
Sherlock,mnegm22,24,0,Terro the Seeker,3699828,0,2023396,0,0,0,0,0,0,874410,0,0,0,0,0,0,802021,0,0,0,0,0,0,0,0
Sherlock,mnegm22,24,1,Mohaca the Gale,5440694,968584,0,0,0,0,0,0,1019736,0,0,0,0,0,0,0,3452373,0,0,0,0,0,0,0,0
Sherlock,mnegm22,24,2,Mohaca the Gale,4184938,906117,0,0,0,0,0,0,648273,0,0,0,0,0,615215,0,2015331,0,0,0,0,0,0,0,0
Sherlock,mnegm22,24,3,Terro the Seeker,874037,874037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherlock,mnegm22,24,4,Lojak the Fissure,7303227,0,899612,0,0,265833,0,0,840259,2120749,887968,0,0,682053,0,1606750,0,0,0,0,0,0,0,0,0
Ilinux9,9nygd7q,20,0,Terro the Seeker,3225964,0,0,0,0,0,0,0,0,0,3225964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilinux9,9nygd7q,20,1,Mohaca the Gale,5374386,1066054,0,0,0,998273,0,0,0,2416485,0,893573,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilinux9,9nygd7q,20,2,Mohaca the Gale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilinux9,9nygd7q,20,3,Terro the Seeker,8704271,0,0,0,0,0,0,0,0,2146034,4700169,0,0,0,0,0,1858066,0,0,0,0,0,0,0,0
Ilinux9,9nygd7q,20,4,Lojak the Fissure,4182306,0,0,0,0,0,938582,0,0,0,2327319,376129,0,533788,0,5696,0,0,0,790,0,0,0,0,0
Razgriz,36en7n2,20,0,Terro the Seeker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Razgriz,36en7n2,20,1,Mohaca the Gale,8460442,2415583,91725,0,1662373,0,212395,0,0,0,0,0,0,46897,1782429,918847,1329884,0,0,0,184,120,0,0,0
Razgriz,36en7n2,20,2,Mohaca the Gale,4061374,0,417,0,0,432855,1097339,393950,0,0,0,2125844,10879,0,0,0,0,89,0,0,0,0,0,0,0
Razgriz,36en7n2,20,3,Terro the Seeker,4369966,878829,948923,0,0,0,534,0,1142606,1399073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Razgriz,36en7n2,20,4,Lojak the Fissure,4251187,2255364,967567,626252,0,402002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raise,kb3n8r,24,0,Terro the Seeker,3976376,0,0,0,0,0,0,0,0,0,3974920,0,0,0,0,0,0,1416,0,0,0,0,0,0,39
Raise,kb3n8r,24,1,Mohaca the Gale,3288491,0,597,0,0,0,398,57574,0,0,0,2326864,0,785004,0,0,115662,1139,0,1251,0,0,0,0,0
Raise,kb3n8r,24,2,Mohaca the Gale,6338882,1466508,26943,360042,922820,0,202233,0,0,0,0,200526,728477,765625,464748,519605,680131,398,0,819,0,0,0,0,0
Raise,kb3n8r,24,3,Terro the Seeker,3528709,0,0,0,0,0,0,0,0,1795075,1708680,0,0,0,0,0,23232,0,0,0,0,0,0,0,1721
Raise,kb3n8r,24,4,Lojak the Fissure,2955587,0,0,0,0,0,0,0,0,0,1225570,0,369148,324604,0,1027577,0,5472,0,2169,0,1045,0,0,0
Xeetron,nby33dk,20,0,Terro the Seeker,3926339,0,0,0,0,0,0,0,0,1890005,2036334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xeetron,nby33dk,20,1,Mohaca the Gale,3573972,0,1620,0,0,0,0,1672333,0,0,0,0,0,39270,0,0,1860749,0,0,0,0,0,0,0,0
Xeetron,nby33dk,20,2,Mohaca the Gale,7854162,100144,169977,131627,126625,112213,113956,2386474,109578,882260,0,0,0,154605,143931,3422766,0,0,0,0,0,0,0,0,0
Xeetron,nby33dk,20,3,Terro the Seeker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xeetron,nby33dk,20,4,Lojak the Fissure,3878895,1161072,2213094,123420,13616,131227,10167,103225,123070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torque,bdeq37w,24,0,Terro the Seeker,3420678,0,0,210980,0,521883,0,0,0,984018,893669,0,0,0,0,0,810126,0,0,0,0,0,0,0,0
Torque,bdeq37w,24,1,Mohaca the Gale,4353594,0,0,697093,0,0,0,1424646,0,990853,0,0,32914,0,772090,0,435946,0,0,0,50,0,0,0,0
Torque,bdeq37w,24,2,Mohaca the Gale,4116857,1205829,501331,0,0,0,217069,0,0,0,0,2102621,16935,24779,24498,7455,16013,323,0,0,0,0,0,0,0
Torque,bdeq37w,24,3,Terro the Seeker,3084838,0,0,0,0,0,0,0,0,1386107,896724,0,0,0,0,0,801753,0,0,0,0,0,0,0,253
