PlayerName,PlayerCode,TotalRaidAttacks,TitanNumber,TitanName,TitanDamage,ArmorHead,ArmorTorso,ArmorLeftArm,ArmorRightArm,ArmorLeftHand,ArmorRightHand,ArmorLeftLeg,ArmorRightLeg,BodyHead,BodyTorso,BodyLeftArm,BodyRightArm,BodyLeftHand,BodyRightHand,BodyLeftLeg,BodyRightLeg,SkeletonHead,SkeletonTorso,SkeletonLeftArm,SkeletonRightArm,SkeletonLeftHand,SkeletonRightHand,SkeletonLeftLeg,SkeletonRightLeg
RedCrash,q47bdm5,32,0,Lojak the Fissure,9420247,69807,1289271,0,0,0,220,0,3365301,979158,2018286,0,802249,513126,380879,0,0,0,0,814,0,1132,0,0,0
RedCrash,q47bdm5,32,1,Lojak the Fissure,6457823,0,18854,0,0,0,1797705,0,0,1218571,2590520,0,830723,0,0,0,0,1447,0,0,0,0,0,0,0
RedCrash,q47bdm5,32,2,Takedar the Reborn,5975712,1264273,1198888,0,0,0,0,3312582,0,0,0,0,0,0,0,199966,0,0,0,0,0,0,0,0,0
RedCrash,q47bdm5,32,3,Mohaca the Gale,10371069,1264721,440,0,547284,976842,235260,0,2275989,0,0,0,24648,600621,28666,2632774,1783239,0,0,581,0,0,0,0,0
RedCrash,q47bdm5,32,4,Lojak the Fissure,12049140,0,3758797,0,0,0,0,0,2170012,1324226,3547910,0,22164,1088171,0,31762,103690,66,0,22,1483,0,44,789,0
Link,6b9nqrr,28,0,Lojak the Fissure,11908924,55594,1413721,1183497,2230598,1009754,88535,53724,56923,0,2907201,0,767595,0,2141499,0,0,0,0,0,0,0,278,0,0
Link,6b9nqrr,28,1,Lojak the Fissure,5750429,0,1353469,497808,2720619,254280,664165,66090,0,73129,0,0,0,0,0,0,120865,0,0,0,0,0,0,0,0
Link,6b9nqrr,28,2,Takedar the Reborn,5826198,42100,1378600,2420545,74891,330661,87763,39005,1452630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link,6b9nqrr,28,3,Mohaca the Gale,11623750,1300951,136893,1371989,2100539,838437,57411,135760,134041,0,0,0,0,2454737,147011,354549,2591327,0,0,102,0,0,0,0,0
Link,6b9nqrr,28,4,Lojak the Fissure,5416459,0,74486,0,776021,270392,793001,0,46542,41620,1301258,2021735,0,0,0,91399,0,0,0,0,0,0,0,0,0
Sherlock,mnegm22,28,0,Lojak the Fissure,6413140,4259241,1083027,0,0,0,0,0,0,0,1070870,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherlock,mnegm22,28,1,Lojak the Fissure,9016890,4034811,2389526,0,0,0,0,0,0,2592552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherlock,mnegm22,28,2,Takedar the Reborn,7774595,0,1153658,0,1334667,0,1318707,0,0,2879566,1087995,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherlock,mnegm22,28,3,Mohaca the Gale,5165843,1237776,0,0,0,0,0,0,0,1531004,0,0,0,0,1352209,1044851,0,0,0,0,0,0,0,0,0
Sherlock,mnegm22,28,4,Lojak the Fissure,8450289,2711090,2503451,0,1975,0,230112,0,0,3003659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sir Tap a Lot,ybd48dk,28,0,Lojak the Fissure,4915876,0,751054,0,0,0,38756,0,0,0,392493,298980,79762,1303342,0,1910288,141198,0,0,0,0,0,0,0,0
Sir Tap a Lot,ybd48dk,28,1,Lojak the Fissure,5065342,0,324054,100377,85078,1214951,188033,561316,147127,1124023,0,0,0,0,0,0,1320380,0,0,0,0,0,0,0,0
Sir Tap a Lot,ybd48dk,28,2,Takedar the Reborn,9700435,2557442,322345,126987,68446,410609,336509,158541,1628827,0,383636,0,283512,1361136,0,2061993,0,201,0,67,0,0,0,178,0
Sir Tap a Lot,ybd48dk,28,3,Mohaca the Gale,5060052,1265415,86850,135801,195415,927573,119955,2150064,178974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sir Tap a Lot,ybd48dk,28,4,Lojak the Fissure,10023587,1277248,1454161,261293,50845,899544,76829,1042999,80419,0,2675073,0,130404,996991,167829,713549,196395,0,0,0,0,0,0,0,0
Purky DeStRoYeR,d2e2mx,28,0,Lojak the Fissure,4675275,2237959,1032132,0,0,0,490,0,1404692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purky DeStRoYeR,d2e2mx,28,1,Lojak the Fissure,9023881,0,2041243,0,0,0,0,1101902,1280204,2302308,0,0,0,0,0,78188,2220035,0,0,0,0,0,0,0,0
Purky DeStRoYeR,d2e2mx,28,2,Takedar the Reborn,4833378,2349421,1006343,0,0,0,0,0,977627,0,0,0,0,0,0,0,499985,0,0,0,0,0,0,0,0
Purky DeStRoYeR,d2e2mx,28,3,Mohaca the Gale,4363774,0,59599,0,0,0,0,0,0,0,0,0,2160822,72596,332695,70856,1667166,0,0,0,38,0,0,0,0
Purky DeStRoYeR,d2e2mx,28,4,Lojak the Fissure,9127128,2301327,1023305,0,0,0,0,1191680,4688,0,2148239,0,1358973,0,0,0,1098914,0,0,0,0,0,0,0,0
Torque,bdeq37w,27,0,Lojak the Fissure,4612978,0,2409245,806121,0,214636,0,1067303,538,115133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torque,bdeq37w,27,1,Lojak the Fissure,9368089,0,4958802,903936,0,1348526,0,0,1048588,0,0,991702,22163,31925,0,27445,34998,0,0,0,0,0,0,0,0
Torque,bdeq37w,27,2,Takedar the Reborn,4670322,0,2476974,0,989394,172589,39930,0,0,133155,0,781948,21169,0,0,27198,27962,0,0,0,0,0,0,0,0
Torque,bdeq37w,27,3,Mohaca the Gale,4529826,431540,0,2555967,0,373491,0,1072578,0,0,0,96248,0,0,0,0,0,0,0,0,0,0,0,0,0
Torque,bdeq37w,27,4,Lojak the Fissure,8265904,541,2525899,1033178,0,467666,0,1696156,439609,1231587,0,857541,0,0,0,13723,0,0,0,0,0,0,0,0,0
Yoth Soggoth,7qg33km,27,0,Lojak the Fissure,4147780,0,1173020,0,0,0,0,0,0,2974759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoth Soggoth,7qg33km,27,1,Lojak the Fissure,8259553,0,2984752,0,0,0,0,0,0,3437495,1659331,0,0,0,170117,0,0,7448,0,0,408,0,0,0,0
Yoth Soggoth,7qg33km,27,2,Takedar the Reborn,7387900,0,0,0,0,0,0,0,0,1485966,5901020,0,0,0,0,0,0,914,0,0,0,0,0,0,0
Yoth Soggoth,7qg33km,27,3,Mohaca the Gale,1933866,1933651,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoth Soggoth,7qg33km,27,4,Lojak the Fissure,7577775,1989251,2231088,0,0,0,0,0,0,3357435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SlimShady,rmyygq8,24,0,Lojak the Fissure,9083669,0,1355752,0,0,0,0,0,0,2318315,1851325,0,421259,0,576373,0,2560506,38,0,0,0,0,0,0,97
SlimShady,rmyygq8,24,1,Lojak the Fissure,4824671,0,0,0,0,0,0,0,0,0,4824438,0,0,0,0,0,0,232,0,0,0,0,0,0,0
SlimShady,rmyygq8,24,2,Takedar the Reborn,4884174,0,1281747,0,0,0,0,0,0,3602426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SlimShady,rmyygq8,24,3,Mohaca the Gale,8197810,281751,0,0,250034,0,466628,0,0,2022807,0,0,1345522,0,1045696,0,2783720,0,0,0,1649,0,0,0,0
SlimShady,rmyygq8,24,4,Lojak the Fissure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WarDaveEagle,455dxkk,16,0,Lojak the Fissure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WarDaveEagle,455dxkk,16,1,Lojak the Fissure,5947224,3099796,1106157,219,5790,219,14164,974247,0,746630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WarDaveEagle,455dxkk,16,2,Takedar the Reborn,6095081,3543658,1076003,0,755946,0,719472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WarDaveEagle,455dxkk,16,3,Mohaca the Gale,6649475,0,1459076,0,0,0,160078,0,1256421,3764092,0,9587,219,0,0,0,0,0,0,0,0,0,0,0,0
WarDaveEagle,455dxkk,16,4,Lojak the Fissure,4868556,0,0,0,0,0,0,0,0,0,3616557,0,124075,0,1121401,0,1971,2725,0,0,0,0,1826,0,0
Xeetron,nby33dk,20,0,Lojak the Fissure,4533440,0,149914,123983,145226,111103,148008,868687,143847,2570350,0,0,0,0,0,272319,0,0,0,0,0,0,0,0,0
Xeetron,nby33dk,20,1,Lojak the Fissure,4745386,2494449,106943,166104,172616,127544,122976,136830,1417920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xeetron,nby33dk,20,2,Takedar the Reborn,4697844,2615188,99624,169483,166688,109650,89805,128738,1318664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xeetron,nby33dk,20,3,Mohaca the Gale,4659628,0,192,0,0,141918,123942,145257,1310328,2608363,0,153104,176521,0,0,0,0,0,0,0,0,0,0,0,0
Xeetron,nby33dk,20,4,Lojak the Fissure,4741806,2506617,125196,190406,159236,131063,100050,1392644,136591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
