WarDaveEagle,455dxkk,24,0,Terro the Seeker,14483460,4430956,1746360,0,0,0,183201,0,1195258,4511136,2146551,0,0,0,0,0,269997,0,0,0,0,0,0,0,0
WarDaveEagle,455dxkk,24,1,Lojak the Fissure,9292222,0,7679,0,741293,0,2415461,0,0,0,6126368,0,0,0,0,0,0,1418,0,0,0,0,0,0,0
WarDaveEagle,455dxkk,24,2,Terro the Seeker,7697997,4286389,1753426,0,0,0,219827,0,1438353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WarDaveEagle,455dxkk,24,3,Sterl the Unmaker,16609908,4593955,1793940,0,1691356,0,1667182,0,0,4807532,2046604,0,0,0,9337,0,0,0,0,0,0,0,0,0,0
RedCrash,q47bdm5,24,0,Terro the Seeker,7698127,0,0,0,0,0,0,0,0,1786827,4432123,0,0,0,0,0,1478563,0,0,0,0,0,0,0,612
RedCrash,q47bdm5,24,1,Lojak the Fissure,14960535,1401497,3026195,0,0,0,0,3968970,0,2292895,0,0,0,0,0,0,4270976,0,0,0,0,0,0,0,0
RedCrash,q47bdm5,24,2,Terro the Seeker,14685490,0,0,0,0,0,0,0,0,4904976,8281536,0,0,0,0,0,1498977,0,0,0,0,0,0,0,0
RedCrash,q47bdm5,24,3,Sterl the Unmaker,7628231,0,0,0,0,0,0,0,1456875,0,3462889,0,2708419,0,0,0,0,0,0,0,0,0,46,0,0
Link,6b9nqrr,24,0,Terro the Seeker,6651835,1379445,1451837,0,0,0,0,0,3820552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link,6b9nqrr,24,1,Lojak the Fissure,14286093,2580840,2885395,261438,121799,456777,112390,299593,1744498,1523024,0,0,0,0,0,0,4300334,0,0,0,0,0,0,0,0
Link,6b9nqrr,24,2,Terro the Seeker,14515126,0,2261672,0,0,0,0,0,0,2932180,7577301,0,0,0,0,0,1743971,0,0,0,0,0,0,0,0
Link,6b9nqrr,24,3,Sterl the Unmaker,7515887,0,0,0,0,0,0,0,0,1596304,4126267,0,0,0,1793314,0,0,0,0,0,0,0,0,0,0
Sherlock,mnegm22,24,0,Terro the Seeker,10806364,1360984,0,0,0,0,0,0,0,0,7829613,0,0,0,0,0,1615766,0,0,0,0,0,0,0,0
Sherlock,mnegm22,24,1,Lojak the Fissure,9967965,1365991,4591839,0,0,0,0,0,0,1455349,2554785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherlock,mnegm22,24,2,Terro the Seeker,6973834,0,2977391,0,0,0,0,0,0,1373931,2622511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherlock,mnegm22,24,3,Sterl the Unmaker,13246311,1331732,2902562,0,0,0,0,0,2866361,0,6145654,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sir Tap a Lot,ybd48dk,24,0,Terro the Seeker,6394425,0,0,0,0,0,0,0,0,1706167,2955883,0,0,0,0,0,1732374,0,0,0,0,0,0,0,0
Sir Tap a Lot,ybd48dk,24,1,Lojak the Fissure,12426430,3466339,2545862,308943,227596,163859,285852,661301,1884157,1816148,0,0,0,0,0,0,1066050,0,0,0,0,0,0,0,319
Sir Tap a Lot,ybd48dk,24,2,Terro the Seeker,8746872,128356,0,0,0,0,0,0,0,4023129,1275160,0,0,0,0,0,3320225,0,0,0,0,0,0,0,0
Sir Tap a Lot,ybd48dk,24,3,Sterl the Unmaker,9935321,874912,1953513,263938,601286,237069,145082,259163,382267,73533,5074923,0,0,0,69630,0,0,0,0,0,0,0,0,0,0
Purky DeStRoYeR,d2e2mx,24,0,Terro the Seeker,6068983,1268056,1214474,0,0,0,965,0,0,0,0,0,0,0,0,0,3585487,0,0,0,0,0,0,0,0
Purky DeStRoYeR,d2e2mx,24,1,Lojak the Fissure,12055110,3626205,1149401,0,0,0,0,1226122,1174685,0,4878695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purky DeStRoYeR,d2e2mx,24,2,Terro the Seeker,12316288,0,0,0,0,0,0,0,0,6245957,4794215,0,0,0,0,0,1276114,0,0,0,0,0,0,0,0
Purky DeStRoYeR,d2e2mx,24,3,Sterl the Unmaker,6530793,0,0,0,0,0,0,0,0,21066,5240848,0,0,0,1268878,0,0,0,0,0,0,0,0,0,0
[ITA] Happy Dead,pqkddeq,24,0,Terro the Seeker,6258926,389227,0,0,0,0,5841,0,0,789898,3942879,0,0,0,0,0,1131079,0,0,0,0,0,0,0,0
[ITA] Happy Dead,pqkddeq,24,1,Lojak the Fissure,11567247,3281975,1562216,0,11271,0,984638,953438,1042997,0,3730709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[ITA] Happy Dead,pqkddeq,24,2,Terro the Seeker,11815210,1105699,3666986,0,0,0,0,0,0,2539435,3318567,0,0,0,0,0,1180648,0,3873,0,0,0,0,0,0
[ITA] Happy Dead,pqkddeq,24,3,Sterl the Unmaker,6113537,0,0,0,96666,0,0,0,948187,0,5050336,0,18270,0,0,0,0,0,0,0,0,0,75,0,0
SlimShady,rmyygq8,24,0,Terro the Seeker,12024637,1163292,3366330,0,0,0,0,0,1403497,1261407,4830109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SlimShady,rmyygq8,24,1,Lojak the Fissure,11387151,0,2393246,114260,0,0,0,0,0,2304014,1025294,0,0,5550146,0,0,0,189,0,0,0,0,0,0,0
SlimShady,rmyygq8,24,2,Terro the Seeker,636,0,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SlimShady,rmyygq8,24,3,Sterl the Unmaker,11430874,1162148,4769147,0,0,0,0,0,0,1281090,3010881,0,0,0,1207607,0,0,0,0,0,0,0,0,0,0
Xeno,9g94ry,20,0,Terro the Seeker,12579730,1322817,3526467,0,0,0,0,0,1492828,6237617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xeno,9g94ry,20,1,Lojak the Fissure,7028161,0,0,214421,214537,224268,136103,246082,0,0,5992448,0,0,0,0,0,0,298,0,0,0,0,0,0,0
Xeno,9g94ry,20,2,Terro the Seeker,13113814,1326165,3542807,27536,15705,7852,13633,24814,1540419,496782,4641999,0,0,0,0,0,1473458,0,0,0,0,0,0,0,2639
Xeno,9g94ry,20,3,Sterl the Unmaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilinux9,9nygd7q,20,0,Terro the Seeker,6649897,0,0,0,0,0,0,0,0,0,3112276,0,0,0,0,0,3537621,0,0,0,0,0,0,0,0
Ilinux9,9nygd7q,20,1,Lojak the Fissure,11174563,0,0,106137,83393,3990583,0,0,0,0,1175261,0,778819,267792,101796,4668855,0,0,1360,0,562,0,0,0,0
Ilinux9,9nygd7q,20,2,Terro the Seeker,7987057,0,1343327,0,0,0,0,0,0,1303120,5340609,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilinux9,9nygd7q,20,3,Sterl the Unmaker,6617751,0,0,0,1254290,0,0,0,0,0,5363460,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MasterC,yg7y2qg,24,0,Terro the Seeker,8781428,3561,3431646,120089,93213,121615,123342,114077,114767,966903,3692209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MasterC,yg7y2qg,24,1,Lojak the Fissure,8904691,0,889845,68046,0,147798,0,0,0,3852893,0,0,3946107,0,0,0,0,0,0,0,0,0,0,0,0
MasterC,yg7y2qg,24,2,Terro the Seeker,4683463,0,0,0,0,0,0,0,0,1024545,3658918,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MasterC,yg7y2qg,24,3,Sterl the Unmaker,4689998,0,0,0,0,0,0,0,0,2625717,2064281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nino1h,3pwp5n,24,0,Terro the Seeker,4231708,828427,2537296,0,0,0,0,0,865984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nino1h,3pwp5n,24,1,Lojak the Fissure,9134619,926939,3657679,0,0,0,0,898398,890451,2761150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nino1h,3pwp5n,24,2,Terro the Seeker,4673337,0,0,0,0,0,0,0,0,2622513,1159993,0,0,0,0,0,890830,0,0,0,0,0,0,0,0
nino1h,3pwp5n,24,3,Sterl the Unmaker,8916920,2663592,1061954,0,100384,0,673557,0,102543,0,2863134,0,1451752,0,0,0,0,0,0,0,0,0,0,0,0
Yoth Soggoth,7qg33km,24,0,Terro the Seeker,3941164,1241521,1870135,0,0,0,1762,0,827745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoth Soggoth,7qg33km,24,1,Lojak the Fissure,9680751,2102458,1716599,0,0,0,0,0,762311,2342222,2757136,0,0,0,0,0,0,23,0,0,0,0,0,0,0
Yoth Soggoth,7qg33km,24,2,Terro the Seeker,6481776,1873388,1661660,0,0,0,0,0,109792,2570449,45959,0,0,0,0,0,220524,0,0,0,0,0,0,0,0
Yoth Soggoth,7qg33km,24,3,Sterl the Unmaker,6472337,410514,1984350,0,0,0,0,0,0,0,4077449,0,0,0,0,0,0,23,0,0,0,0,0,0,0
sEBUSTIAN.cL,g7qpm2,24,0,Terro the Seeker,4197034,1778294,529369,25215,45628,50352,21040,56271,0,0,1008376,0,0,0,0,0,682483,0,0,0,0,0,0,0,0
sEBUSTIAN.cL,g7qpm2,24,1,Lojak the Fissure,8664058,2049618,2690858,52332,368758,82633,526281,63706,728634,2101233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sEBUSTIAN.cL,g7qpm2,24,2,Terro the Seeker,8774998,1801535,1454547,95371,449946,77379,697111,53848,598031,1642222,1905003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sEBUSTIAN.cL,g7qpm2,24,3,Sterl the Unmaker,4713328,0,0,44475,743764,45622,0,32155,24074,2081689,1686212,0,0,0,55334,0,0,0,0,0,0,0,0,0,0
Lokbeth,wb6g5mw,20,0,Terro the Seeker,3452023,30769,3222479,30221,43374,30034,37555,28228,29361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lokbeth,wb6g5mw,20,1,Lojak the Fissure,8628626,0,1491896,115200,67353,122091,516169,332036,0,2844508,1702444,0,0,0,1168570,143748,124326,280,0,0,0,0,0,0,0
Lokbeth,wb6g5mw,20,2,Terro the Seeker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lokbeth,wb6g5mw,20,3,Sterl the Unmaker,7281829,1196338,1908921,137718,40703,128226,36804,149712,1208548,0,2473771,0,0,0,0,0,0,1084,0,0,0,0,0,0,0
Stella,k5382ep,18,0,Terro the Seeker,4118378,796130,0,0,0,0,969,0,0,0,900191,0,0,0,0,0,2421086,0,0,0,0,0,0,0,0
Stella,k5382ep,18,1,Lojak the Fissure,2397621,0,0,0,0,140,0,0,0,0,0,0,0,0,0,2397463,0,0,17,0,0,0,0,0,0
Stella,k5382ep,18,2,Terro the Seeker,8125587,0,0,0,0,0,0,0,0,4259407,1796558,0,0,0,0,0,2069621,0,0,0,0,0,0,0,0
Stella,k5382ep,18,3,Sterl the Unmaker,3567785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3567768,0,0,0,0,0,17,0,0
Levi,7n2kgy3,24,0,Terro the Seeker,2932576,0,0,0,0,0,0,0,0,2175373,757202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Levi,7n2kgy3,24,1,Lojak the Fissure,5954807,0,730557,0,0,0,0,0,0,1789042,0,0,0,0,2159258,636556,639392,0,0,0,0,0,0,0,0
