PlayerName,PlayerCode,TotalRaidAttacks,TitanNumber,TitanName,TitanDamage,ArmorHead,ArmorTorso,ArmorLeftArm,ArmorRightArm,ArmorLeftHand,ArmorRightHand,ArmorLeftLeg,ArmorRightLeg,BodyHead,BodyTorso,BodyLeftArm,BodyRightArm,BodyLeftHand,BodyRightHand,BodyLeftLeg,BodyRightLeg,SkeletonHead,SkeletonTorso,SkeletonLeftArm,SkeletonRightArm,SkeletonLeftHand,SkeletonRightHand,SkeletonLeftLeg,SkeletonRightLeg
"MrHypeZz,",eyq4drq,22,1,Lojak the Fissure,2287937,751806,8254,8220,8572,24376,16344,655047,12562,498745,301124,0,0,0,0,0,0,2882,0,0,0,0,0,0,0
"MrHypeZz,",eyq4drq,22,2,Takedar the Reborn,2921832,720064,27979,0,12506,7234,15949,9754,0,1491163,1240,7678,0,0,0,326700,301561,0,0,0,0,0,0,0,0
"MrHypeZz,",eyq4drq,22,3,Takedar the Reborn,2000978,318417,15598,12155,180499,11804,188552,11031,9204,905117,15695,5979,0,0,0,5130,321792,0,0,0,0,0,0,0,0
OVERTAKE ME HOE,bn5gb33,22,0,Jukk the Overseer,1637492,517128,450512,46906,46109,22422,38552,48691,51938,227803,187427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERTAKE ME HOE,bn5gb33,22,1,Lojak the Fissure,2796446,588467,584920,49774,50330,26035,51822,47052,40891,0,961945,0,0,67343,147557,176708,0,1346,0,1887,326,0,0,12,24
OVERTAKE ME HOE,bn5gb33,22,2,Takedar the Reborn,2391604,549134,16012,0,43877,93248,58211,55814,0,832996,472489,144371,0,0,0,78397,47048,0,0,0,0,0,0,0,0
OVERTAKE ME HOE,bn5gb33,22,3,Takedar the Reborn,1477534,0,0,0,9191,9991,7181,0,0,701948,473378,6860,0,0,0,76822,192159,0,0,0,0,0,0,0,0
wumbo3000,dg7mm2,12,0,Jukk the Overseer,2727227,0,0,13258,6970,10848,7763,0,0,648656,1315151,0,0,0,0,16613,707965,0,0,0,0,0,0,0,0
wumbo3000,dg7mm2,12,1,Lojak the Fissure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wumbo3000,dg7mm2,12,2,Takedar the Reborn,2727874,919856,1037476,15774,14359,7861,8385,12106,712054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wumbo3000,dg7mm2,12,3,Takedar the Reborn,2804151,0,597355,13101,9695,6685,16125,190159,405157,625898,0,0,0,0,0,0,939970,0,0,0,0,0,0,0,0
britt,g9d5mde,19,0,Jukk the Overseer,1571222,743139,366989,444,38567,0,35572,158672,172015,55823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
britt,g9d5mde,19,1,Lojak the Fissure,1498318,679862,234353,151933,193088,51515,75766,55711,56087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
britt,g9d5mde,19,2,Takedar the Reborn,3116541,85079,338065,0,120226,71123,113103,321711,0,1435915,395208,149510,0,0,0,0,86433,0,0,0,0,0,0,0,162
britt,g9d5mde,19,3,Takedar the Reborn,1627987,0,0,0,86069,8292,43873,0,0,797722,410085,68989,76293,57421,0,76840,0,0,0,1635,0,0,0,0,765
Karamba,ybd852,16,0,Jukk the Overseer,4134760,0,400320,45746,35261,18561,36008,42968,0,690851,1591703,0,0,0,0,324618,948531,189,0,0,0,0,0,0,0
Karamba,ybd852,16,1,Lojak the Fissure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karamba,ybd852,16,2,Takedar the Reborn,1100685,0,0,0,0,0,0,0,0,0,194908,0,488753,149363,262425,0,0,1703,1247,2284,0,0,0,0,0
Karamba,ybd852,16,3,Takedar the Reborn,2268887,0,0,0,0,0,17738,0,0,689684,661063,0,47480,337846,0,514030,0,0,0,803,0,0,0,0,239

