[LK]SouthrnStyle,pq3ynb,16,0,Sterl the Unmaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[LK]SouthrnStyle,pq3ynb,16,1,Mohaca the Gale,19874151,3826586,59955,1615829,227118,2134061,585226,1259285,5927336,0,0,0,0,0,0,4238751,0,0,0,0,0,0,0,0,0
[LK]SouthrnStyle,pq3ynb,16,2,Sterl the Unmaker,11968603,5093824,3925231,1522481,1363642,63075,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[LK]SouthrnStyle,pq3ynb,16,3,Sterl the Unmaker,15516913,0,0,0,2458039,0,4002670,0,0,3142865,5709271,0,204065,0,0,0,0,0,0,0,0,0,0,0,0
[LK]SouthrnStyle,pq3ynb,16,4,Terro the Seeker,12956299,0,0,0,0,0,0,0,0,3141075,2928215,0,0,0,0,6887008,0,0,0,0,0,0,0,0,0
WarDaveEagle,455dxkk,16,0,Sterl the Unmaker,11274251,6560670,154455,424806,504543,290060,281460,0,29438,0,3028815,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WarDaveEagle,455dxkk,16,1,Mohaca the Gale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WarDaveEagle,455dxkk,16,2,Sterl the Unmaker,22359094,6860944,3209102,412278,538701,491049,239355,16354,51968,6817974,2501586,566664,381161,0,271952,0,0,0,0,0,0,0,0,0,0
WarDaveEagle,455dxkk,16,3,Sterl the Unmaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WarDaveEagle,455dxkk,16,4,Terro the Seeker,11055681,6331068,2828595,0,0,0,251706,0,0,0,0,0,0,0,0,0,1644311,0,0,0,0,0,0,0,0
RedCrash,q47bdm5,16,0,Sterl the Unmaker,9584988,0,0,0,0,0,1919302,0,0,2342784,5322902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RedCrash,q47bdm5,16,1,Mohaca the Gale,9653170,0,14144,297728,0,346116,344602,5552140,408725,2137340,0,0,552372,0,0,0,0,0,0,0,0,0,0,0,0
RedCrash,q47bdm5,16,2,Sterl the Unmaker,9681937,0,0,0,0,0,0,0,0,0,7763114,1918822,0,0,0,0,0,0,0,0,0,0,0,0,0
RedCrash,q47bdm5,16,3,Sterl the Unmaker,9599560,0,0,0,0,0,0,716,0,0,7786286,0,1121733,689915,0,0,0,26,0,51,0,776,51,0,0
RedCrash,q47bdm5,16,4,Terro the Seeker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link,6b9nqrr,16,0,Sterl the Unmaker,9910004,0,0,199709,2266725,237376,207664,58088,31916,770009,6138515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link,6b9nqrr,16,1,Mohaca the Gale,9332785,0,97772,0,0,0,0,0,0,0,0,0,0,1234738,5254936,2358451,383194,0,0,0,0,629,3062,0,0
Link,6b9nqrr,16,2,Sterl the Unmaker,9586026,0,0,0,0,43013,0,23937,1914,451282,5609553,523408,2670001,0,262914,0,0,0,0,0,0,0,0,0,0
Link,6b9nqrr,16,3,Sterl the Unmaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link,6b9nqrr,16,4,Terro the Seeker,9687874,631968,5967046,24121,69104,66822,68218,25425,2835168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arius,mqn7rmr,16,0,Sterl the Unmaker,8334235,0,0,597936,0,0,0,0,0,0,6558922,0,0,0,1177376,0,0,0,0,0,0,0,0,0,0
Arius,mqn7rmr,16,1,Mohaca the Gale,8315055,0,0,0,0,0,699716,0,0,1856377,0,0,0,0,994261,0,4764700,0,0,0,0,0,0,0,0
Arius,mqn7rmr,16,2,Sterl the Unmaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arius,mqn7rmr,16,3,Sterl the Unmaker,8975804,2053815,4981030,1940958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arius,mqn7rmr,16,4,Terro the Seeker,8425941,0,0,0,0,0,0,0,0,2001164,6424776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sir Tap a Lot,ybd48dk,16,0,Sterl the Unmaker,8771814,2066049,5773403,16448,39911,93978,348728,57133,376160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sir Tap a Lot,ybd48dk,16,1,Mohaca the Gale,8595238,0,215759,0,0,0,0,0,0,0,0,0,0,0,0,7737941,641537,0,0,0,0,0,0,0,0
