Link,6b9nqrr,32,0,Lojak the Fissure,8708255,2342823,1042294,393682,796793,1698259,586827,202558,58261,0,1067018,398352,0,45913,0,0,75468,0,0,0,0,0,0,0,0
Link,6b9nqrr,32,1,Jukk the Overseer,4356350,1874245,1033844,394931,50413,285832,63393,57054,112297,484337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link,6b9nqrr,32,2,Takedar the Reborn,12977503,4623594,2167126,880869,169955,1608240,166031,49205,169351,0,0,0,1101353,0,1943966,97807,0,0,0,0,0,0,0,0,0
Link,6b9nqrr,32,3,Takedar the Reborn,8771864,2237140,1126084,797488,86382,594125,1243145,36225,157462,1159583,1005403,0,147334,0,181486,0,0,0,0,0,0,0,0,0,0
RedCrash,q47bdm5,28,0,Lojak the Fissure,7737457,0,2175793,0,774386,0,411166,0,0,1102898,2136531,0,0,0,0,1136680,0,0,0,0,0,0,0,0,0
RedCrash,q47bdm5,28,1,Jukk the Overseer,9672707,1115665,2241711,29409,24142,30873,24830,476291,1098247,1115248,1394157,0,0,0,0,581683,1540445,0,0,0,0,0,0,0,0
RedCrash,q47bdm5,28,2,Takedar the Reborn,4515604,1105926,2203640,0,809012,0,397025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RedCrash,q47bdm5,28,3,Takedar the Reborn,8815150,2121388,4320493,0,1544224,0,829044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xeno,9g94ry,28,0,Lojak the Fissure,8445409,2386653,1097441,149783,140509,122282,147945,1253176,99672,0,1145393,140018,922243,138067,591532,0,110535,154,0,0,0,0,0,0,0
Xeno,9g94ry,28,1,Jukk the Overseer,7869247,0,1931089,45151,49762,38156,52206,0,0,2133644,0,0,0,0,0,645784,2973431,0,19,0,0,0,0,0,0
Xeno,9g94ry,28,2,Takedar the Reborn,8193844,108651,1252130,116048,139178,381643,1092847,0,135007,2163446,0,1986429,619695,0,9951,147725,39844,127,57,825,0,0,0,0,231
Xeno,9g94ry,28,3,Takedar the Reborn,4321509,2428736,1096187,148213,150475,122551,101866,147760,125718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StrayTee,d7qneqb,28,0,Lojak the Fissure,8038196,0,2191792,155888,126917,142000,307291,254874,1216486,44609,2103671,146415,145428,169709,0,0,1032743,365,0,0,0,0,0,0,0
StrayTee,d7qneqb,28,1,Jukk the Overseer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StrayTee,d7qneqb,28,2,Takedar the Reborn,11089735,340297,2250658,1703081,257054,709836,213844,153902,617027,174,2073699,14883,1006202,657302,1002997,88523,0,0,0,0,156,0,0,92,0
StrayTee,d7qneqb,28,3,Takedar the Reborn,7505353,213534,1307636,280753,1298239,360776,337913,72373,301913,1302,1077827,0,0,87232,1637600,162441,354319,3688,2523,522,817,0,0,1566,2372
Sherlock,mnegm22,32,0,Lojak the Fissure,6260877,807242,765338,0,0,0,0,1581279,1669167,0,720416,0,0,0,0,0,717433,0,0,0,0,0,0,0,0
Sherlock,mnegm22,32,1,Jukk the Overseer,4902304,0,761670,0,0,0,0,0,776123,1743335,29914,0,0,0,0,1591185,0,0,0,0,0,0,0,0,75
Sherlock,mnegm22,32,2,Takedar the Reborn,8009229,1557259,1571134,0,0,0,0,82844,488553,774495,782948,0,0,0,0,1577564,1174429,0,0,0,0,0,0,0,0
Sherlock,mnegm22,32,3,Takedar the Reborn,5936944,0,0,0,0,236121,0,0,796012,764136,1564817,0,0,190197,0,785865,1599794,0,0,0,0,0,0,0,0
Sir Tap a Lot,ybd48dk,28,0,Lojak the Fissure,6586497,0,727915,0,0,653551,0,465189,0,767827,984952,174573,0,533539,95426,410012,1773199,308,0,0,0,0,0,0,0
Sir Tap a Lot,ybd48dk,28,1,Jukk the Overseer,3218001,0,0,0,0,2826,0,1761945,0,750870,702358,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sir Tap a Lot,ybd48dk,28,2,Takedar the Reborn,6402632,932407,232109,26830,106658,135958,232796,1238509,1106580,753766,763487,873502,0,0,0,0,0,0,0,0,0,0,0,26,0
Sir Tap a Lot,ybd48dk,28,3,Takedar the Reborn,6509556,768933,130139,127644,38701,911953,362869,1332798,283081,772625,46166,0,1734643,0,0,0,0,0,0,0,0,0,0,0,0
Razgriz,36en7n2,24,0,Lojak the Fissure,3742594,0,1799703,0,0,0,0,0,0,1942890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Razgriz,36en7n2,24,1,Jukk the Overseer,3097538,0,0,0,0,0,4556,0,0,0,0,0,0,0,0,389221,2703726,0,33,0,0,0,0,0,0
Razgriz,36en7n2,24,2,Takedar the Reborn,3584417,0,0,0,496383,0,444955,0,0,1790116,852961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Razgriz,36en7n2,24,3,Takedar the Reborn,10853701,3243905,2756482,52912,58561,697522,41855,82523,107593,0,902322,1926452,0,0,0,982859,0,710,0,0,0,0,0,0,0
SlimShady,rmyygq8,32,0,Lojak the Fissure,5026529,1796814,892359,5090,3393,5467,29719,303483,1696,921588,642522,0,0,0,0,0,423934,458,0,0,0,0,0,0,0
SlimShady,rmyygq8,32,1,Jukk the Overseer,4949566,0,847644,26108,58993,8062,42307,502793,900767,1582992,979126,0,0,0,0,0,0,770,0,0,0,0,0,0,0
SlimShady,rmyygq8,32,2,Takedar the Reborn,5408012,0,71893,57072,77153,37941,45345,0,41293,3217540,1795844,3688,0,0,0,58394,1844,0,0,0,0,0,0,0,0
SlimShady,rmyygq8,32,3,Takedar the Reborn,5157627,0,0,3415,8538,6830,10245,0,1707,2339215,841465,0,0,9016,170882,5122,1759088,63,174,0,1860,0,0,0,0
Purky DeStRoYeR,d2e2mx,28,0,Lojak the Fissure,4941974,1285776,618863,0,0,0,0,0,577778,0,621502,0,0,1224,0,1767489,69019,52,0,0,0,0,0,0,265
Purky DeStRoYeR,d2e2mx,28,1,Jukk the Overseer,2545778,0,610334,0,0,0,0,655633,0,1279811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purky DeStRoYeR,d2e2mx,28,2,Takedar the Reborn,5099371,1338334,584975,0,0,0,0,669809,543166,1349045,614040,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purky DeStRoYeR,d2e2mx,28,3,Takedar the Reborn,5125146,2778071,777246,27804,61861,26107,29383,1094491,330179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WarDaveEagle,455dxkk,16,0,Lojak the Fissure,5583873,0,818467,0,196,1078,21899,504109,536536,2783204,914798,0,196,0,0,0,0,3387,0,0,0,0,0,0,0
WarDaveEagle,455dxkk,16,1,Jukk the Overseer,8651956,2624656,980,1732,196,21293,197076,1003956,931460,2753915,1116689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WarDaveEagle,455dxkk,16,2,Takedar the Reborn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WarDaveEagle,455dxkk,16,3,Takedar the Reborn,3428724,0,0,0,0,0,0,0,0,0,1042433,1037790,0,534451,436202,0,371486,2366,0,0,3992,0,0,0,0
Foo,ndm5rxm,20,0,Lojak the Fissure,6407768,0,606164,742653,390342,52234,205048,145,0,987515,2247509,629552,0,213740,0,0,332819,43,0,0,0,0,0,0,0
Foo,ndm5rxm,20,1,Jukk the Overseer,1745350,0,0,0,0,0,0,0,0,928980,816370,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foo,ndm5rxm,20,2,Takedar the Reborn,4711365,1315,720515,678929,0,225721,0,0,0,1068521,1897307,0,0,0,0,0,118166,432,454,0,0,0,0,0,0
Foo,ndm5rxm,20,3,Takedar the Reborn,3432368,0,423680,533975,0,167058,0,0,0,1003204,866789,0,0,0,0,437660,0,0,0,0,0,0,0,0,0
Torque,bdeq37w,21,0,Lojak the Fissure,4959093,0,1312257,0,0,0,3603,0,683476,791995,1503487,0,0,0,0,663970,0,28,0,0,0,0,0,0,274
Torque,bdeq37w,21,1,Jukk the Overseer,5076764,0,0,0,0,0,336,0,675288,1565936,2179941,0,0,0,0,0,655248,14,0,0,0,0,0,0,0
Torque,bdeq37w,21,2,Takedar the Reborn,1602461,0,0,0,0,0,0,0,0,1602461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torque,bdeq37w,21,3,Takedar the Reborn,2791051,0,0,0,0,0,0,0,0,1488368,1302683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoth Soggoth,7qg33km,18,0,Lojak the Fissure,5581305,1655637,1026804,0,0,0,0,0,0,0,1246323,310219,454466,64919,436147,0,386385,19,0,0,382,0,0,0,0
Yoth Soggoth,7qg33km,18,1,Jukk the Overseer,3073286,1579808,1493478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoth Soggoth,7qg33km,18,2,Takedar the Reborn,2182744,0,0,0,0,0,0,0,0,1078531,1104212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoth Soggoth,7qg33km,18,3,Takedar the Reborn,3437990,0,0,0,0,0,0,0,0,2416810,1021179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
